,ADDRESS,ADPARCEL_,ADPARCEL_I,ADR_ID,AD_STREET,AD_SUFFIX,ANGLE,AREA,CITY_ID,CODE,DATE_ENTER,LAT,LON,PERIMETER,POLYGONID,SCALE,SOURCE,STATUS,STREET,STREET_DIR,STREET_IDX,STREET_NAM,STREET_NO,SUFFIX_DIR,TILE_NAME,X_HPGN,Y_HPGN,ZIPCITY,ZIPCODE,geometry,SequenceNum,SaleDate,SalePrice,PropertyType,IntendedUse,Deed,Financing,ValidationDescription,BuyerSellerRelated,Solar,PersonalProperty,PartialInterest,RecordingDate
101234010,3641 W ETHAN CROSSING LN,88602.0,311523.0,310644.0,ETHAN CROSSING,LN,0.0,0.0,TUC,0.0,2000-02-19,32.3185547468,-111.042856723,0.0,88602.0,1.0,PC DSD GIS,P,W ETHAN CROSSING LN,W,ETHAN,ETHAN CROSSING LN,3641.0,,E131308,969932.0,480719.0,TUCSON,85741,POINT (-111.0428567226978 32.31855474686445),20151280242,201503,136000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-05-08
101234370,3587 W COURTNEY CROSSING LN,89599.0,310516.0,309639.0,COURTNEY CROSSING,LN,0.0,0.0,TUC,0.0,2000-02-19,32.3174383134,-111.041986981,0.0,89599.0,1.0,PC DSD GIS,P,W COURTNEY CROSSING LN,W,COURT,COURTNEY CROSSING LN,3587.0,,E131308,970204.0,480315.0,TUCSON,85741,POINT (-111.0419869809028 32.31743831344782),20151880052,201507,153700,Single Family,NonPrimary,Warranty Deed,Cash,Good Sale,No,No,No,No,2015-07-07
101234730,6075 N APPLESAUCE CT,89741.0,310371.0,309494.0,APPLESAUCE,CT,0.0,0.0,TUC,0.0,2000-02-19,32.3172675374,-111.039534986,0.0,89741.0,1.0,PC DSD GIS,P,N APPLESAUCE CT,N,APPLE,APPLESAUCE CT,6075.0,,E131308,970962.0,480259.0,TUCSON,85741,POINT (-111.0395349864208 32.31726753750362),20151200526,201504,153000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-04-30
101234820,3420 W COURTNEY CROSSING LN,89892.0,310217.0,309340.0,COURTNEY CROSSING,LN,0.0,0.0,TUC,0.0,2000-02-19,32.3170846018,-111.038612592,0.0,89892.0,1.0,PC DSD GIS,P,W COURTNEY CROSSING LN,W,COURT,COURTNEY CROSSING LN,3420.0,,E131308,971248.0,480195.0,TUCSON,85741,POINT (-111.0386125919974 32.31708460190366),20153560332,201511,124900,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-22
103090050,4045 N HIGHWAY DR,120343.0,279236.0,278475.0,HIGHWAY,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2800220588,-111.015944323,0.0,120343.0,1.0,PC DSD GIS,P,N HIGHWAY DR,N,HIGHW,HIGHWAY DR,4045.0,,E131321,978364.0,466770.0,TUCSON,85705,POINT (-111.0159443229681 32.28002205887019),20151610443,201506,550000,Commercial/Industrial,Unknown,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-06-10
10309006H,4005 N RUNWAY DR,121559.0,277995.0,277242.0,RUNWAY,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2785414836,-111.013643277,0.0,121559.0,1.0,PC DSD GIS,P,N RUNWAY DR,N,RUNWA,RUNWAY DR,4005.0,,E131328,979079.0,466237.0,TUCSON,85705,POINT (-111.0136432767122 32.27854148367831),20152870478,201510,725000,Commercial/Industrial,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-10-14
10309006H,3911 N HIGHWAY DR,121911.0,277635.0,276880.0,HIGHWAY,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2781288643,-111.014345443,0.0,121911.0,1.0,PC DSD GIS,P,N HIGHWAY DR,N,HIGHW,HIGHWAY DR,3911.0,,E131328,978864.0,466085.0,TUCSON,85705,POINT (-111.0143454425949 32.278128864343),20152870478,201510,725000,Commercial/Industrial,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-10-14
10309020B,2049 W HIGHWAY DR,124137.0,275372.0,274615.0,HIGHWAY,DR,0.0,0.0,TUC,0.0,2003-12-01,32.2756244627,-111.011101576,0.0,124137.0,1.0,PC DSD GIS,P,W HIGHWAY DR,W,HIGHW,HIGHWAY DR,2049.0,,E131327,979874.0,465182.0,TUCSON,85705,POINT (-111.0111015760846 32.27562446278178),20151070645,201501,250000,Commercial/Industrial,Unknown,Warranty Deed,Other,Good Sale,No,No,No,No,2015-04-17
103090510,3925 N RUNWAY DR,121458.0,278096.0,277342.0,RUNWAY,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2786582823,-111.012343632,0.0,121458.0,1.0,PC DSD GIS,P,N RUNWAY DR,N,RUNWA,RUNWAY DR,3925.0,,E131328,979481.0,466283.0,TUCSON,85705,POINT (-111.0123436317131 32.2786582823928),20152710474,201505,475000,Commercial/Industrial,Unknown,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-09-28
103101520,3222 W VIA CAMPANA DE ORO,124823.0,274682.0,273928.0,VIA CAMPANA DE ORO,,0.0,0.0,TUC,0.0,2000-02-19,32.2750863552,-111.03514614,0.0,124823.0,1.0,PC DSD GIS,P,W VIA CAMPANA DE ORO,W,VIA C,VIA CAMPANA DE ORO,3222.0,,E131329,972444.0,464925.0,TUCSON,85745,POINT (-111.0351461402573 32.27508635525746),20153030252,201510,152000,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-10-30
103101530,3232 W VIA CAMPANA DE ORO,124923.0,274582.0,273827.0,VIA CAMPANA DE ORO,,0.0,0.0,TUC,0.0,2000-02-19,32.2749942651,-111.035305165,0.0,124923.0,1.0,PC DSD GIS,P,W VIA CAMPANA DE ORO,W,VIA C,VIA CAMPANA DE ORO,3232.0,,E131329,972395.0,464891.0,TUCSON,85745,POINT (-111.0353051650567 32.27499426515792),20150820353,201503,150000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-23
103101630,3342 W VIA CAMPANA DE ORO,125773.0,273716.0,272964.0,VIA CAMPANA DE ORO,,0.0,0.0,TUC,0.0,2000-02-19,32.2741310618,-111.036942966,0.0,125773.0,1.0,PC DSD GIS,P,W VIA CAMPANA DE ORO,W,VIA C,VIA CAMPANA DE ORO,3342.0,,E131329,971892.0,464573.0,TUCSON,85745,POINT (-111.0369429658891 32.27413106189356),20153570096,201511,169500,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-23
103101800,3223 W VIA CAMPANA DE COBRE,126133.0,273348.0,272597.0,VIA CAMPANA DE COBRE,,0.0,0.0,TUC,0.0,2000-02-19,32.273732728,-111.034907676,0.0,126133.0,1.0,PC DSD GIS,P,W VIA CAMPANA DE COBRE,W,VIA C,VIA CAMPANA DE COBRE,3223.0,,E131329,972522.0,464433.0,TUCSON,85745,POINT (-111.0349076756164 32.27373272810633),20153570350,201512,169500,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-23
103101880,3144 W VIA CAMPANA DE COBRE,125320.0,274176.0,273424.0,VIA CAMPANA DE COBRE,,0.0,0.0,TUC,0.0,2000-02-19,32.2745692033,-111.033591041,0.0,125320.0,1.0,PC DSD GIS,P,W VIA CAMPANA DE COBRE,W,VIA C,VIA CAMPANA DE COBRE,3144.0,,E131329,972926.0,464741.0,TUCSON,85745,POINT (-111.0335910405303 32.27456920337249),20151260410,201503,142000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-05-06
103102120,3241 W VIA CAMPANA DE ORO,125359.0,274137.0,273385.0,VIA CAMPANA DE ORO,,0.0,0.0,TUC,0.0,2000-02-19,32.2745458909,-111.035443166,0.0,125359.0,1.0,PC DSD GIS,P,W VIA CAMPANA DE ORO,W,VIA C,VIA CAMPANA DE ORO,3241.0,,E131329,972354.0,464727.0,TUCSON,85745,POINT (-111.0354431662082 32.27454589102553),20153030538,201510,137000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-10-30
103102290,3601 N AVENIDA ALBOR,127166.0,272297.0,271551.0,AVENIDA ALBOR,,0.0,0.0,TUC,0.0,2000-02-19,32.2726338171,-111.034131902,0.0,127166.0,1.0,PC DSD GIS,P,N AVENIDA ALBOR,N,AVENI,AVENIDA ALBOR,3601.0,,E131329,972765.0,464035.0,TUCSON,85745,POINT (-111.0341319018945 32.27263381713679),20153200918,201511,205000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-11-16
103102500,3521 N AVENIDA ALBOR,128752.0,270677.0,269937.0,AVENIDA ALBOR,,0.0,0.0,TUC,0.0,2000-02-19,32.2710806232,-111.035871173,0.0,128752.0,1.0,PC DSD GIS,P,N AVENIDA ALBOR,N,AVENI,AVENIDA ALBOR,3521.0,,E131329,972232.0,463466.0,TUCSON,85745,POINT (-111.0358711733906 32.27108062325119),20150710484,201503,141400,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-03-12
103102670,3281 W VUELTA DE LOS MINEROS,130340.0,269065.0,268329.0,VUELTA DE LOS MINEROS,,0.0,0.0,TUC,0.0,2000-02-19,32.2696382274,-111.036354429,0.0,130340.0,1.0,PC DSD GIS,P,W VUELTA DE LOS MINEROS,W,VUELT,VUELTA DE LOS MINEROS,3281.0,,E131329,972087.0,462940.0,TUCSON,85745,POINT (-111.0363544289151 32.2696382274883),20152710435,201508,190000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-09-28
103110060,3305 N GREGORY DR,133374.0,265993.0,265269.0,GREGORY,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2670483854,-111.037034158,0.0,133374.0,1.0,PC DSD GIS,P,N GREGORY DR,N,GREGO,GREGORY DR,3305.0,,E131329,971884.0,461996.0,TUCSON,85745,POINT (-111.0370341580077 32.26704838549357),20152220141,201508,220000,Single Family,PrimaryRes,Quit Claim Deed,Cash,Sale under duress,No,No,No,No,2015-08-10
103110140,3310 W ROCK HILL RD,135058.0,264277.0,263558.0,ROCK HILL,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2655644524,-111.036968404,0.0,135058.0,1.0,PC DSD GIS,P,W ROCK HILL RD,W,ROCK,ROCK HILL RD,3310.0,,E131329,971909.0,461456.0,TUCSON,85745,POINT (-111.036968403609 32.26556445246146),20151560502,201505,215000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-06-05
103110330,3180 W ROCK HILL RD,134902.0,264437.0,263715.0,ROCK HILL,RD,0.0,0.0,TUC,0.0,2000-02-19,32.2656872463,-111.034966682,0.0,134902.0,1.0,PC DSD GIS,P,W ROCK HILL RD,W,ROCK,ROCK HILL RD,3180.0,,E131329,972528.0,461506.0,TUCSON,85745,POINT (-111.0349666817971 32.26568724632629),20150410297,201502,113000,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller are related parties or corporate entities,Yes,No,No,No,2015-02-10
103110630,2910 W NEOSHA ST,130475.0,268927.0,268190.0,NEOSHA,ST,0.0,0.0,TUC,0.0,2000-02-19,32.2694601511,-111.02914854,0.0,130475.0,1.0,PC DSD GIS,P,W NEOSHA ST,W,NEOSH,NEOSHA ST,2910.0,,E131329,974315.0,462893.0,TUCSON,85745,POINT (-111.0291485400381 32.26946015119104),20152160296,201506,262000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-08-04
103174890,3003 N GAIA PL,139384.0,259902.0,259222.0,GAIA,PL,0.0,0.0,TUC,0.0,2000-12-29,32.2621819425,-111.030972965,0.0,139384.0,1.0,PC DSD GIS,P,N GAIA PL,N,GAIA,GAIA PL,3003.0,,E131332,973773.0,460241.0,TUCSON,85745,POINT (-111.0309729654543 32.26218194253487),20150900479,201502,290000,Condo/Townhouse,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-31
103174970,3019 N GAIA PL,139096.0,260193.0,259497.0,GAIA,PL,0.0,0.0,TUC,0.0,2000-12-29,32.2623856722,-111.031521144,0.0,139096.0,1.0,PC DSD GIS,P,N GAIA PL,N,GAIA,GAIA PL,3019.0,,E131332,973603.0,460313.0,TUCSON,85745,POINT (-111.0315211441053 32.26238567223801),20152020495,201507,0,Condo/Townhouse,Rental,Other,Other,Sale price missing,Yes,No,No,No,2015-07-21
103175010,3027 N GAIA PL,138922.0,260369.0,259670.0,GAIA,PL,0.0,0.0,TUC,0.0,2000-12-29,32.2625202195,-111.031096453,0.0,138922.0,1.0,PC DSD GIS,P,N GAIA PL,N,GAIA,GAIA PL,3027.0,,E131332,973733.0,460364.0,TUCSON,85745,POINT (-111.0310964525869 32.26252021954426),20153350283,201511,280000,Condo/Townhouse,PrimaryRes,Warranty Deed,Cash,Good Sale,No,No,No,No,2015-12-01
103181090,2378 W SILVER RIVER WY,142980.0,256264.0,255594.0,SILVER RIVER,WY,0.0,0.0,TUC,0.0,2000-02-19,32.2596032116,-111.017531392,0.0,142980.0,1.0,PC DSD GIS,P,W SILVER RIVER WY,W,SILVE,SILVER RIVER WY,2378.0,,E131333,977935.0,459337.0,TUCSON,85745,POINT (-111.0175313920939 32.25960321166456),20152160350,201506,157000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-08-04
103181170,2329 W SILVERBELL OASIS WY,143223.0,256017.0,255355.0,SILVERBELL OASIS,WY,0.0,0.0,TUC,0.0,2000-02-19,32.259453206,-111.016912372,0.0,143223.0,1.0,PC DSD GIS,P,W SILVERBELL OASIS WY,W,SILVE,SILVERBELL OASIS WY,2329.0,,E131333,978127.0,459284.0,TUCSON,85745,POINT (-111.0169123715746 32.25945320608049),20152430327,201508,172000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-08-31
103181280,2263 W SILVERBELL OASIS WY,143933.0,255295.0,254629.0,SILVERBELL OASIS,WY,0.0,0.0,TUC,0.0,2000-02-19,32.2590246188,-111.015364855,0.0,143933.0,1.0,PC DSD GIS,P,W SILVERBELL OASIS WY,W,SILVE,SILVERBELL OASIS WY,2263.0,,E131333,978607.0,459132.0,TUCSON,85745,POINT (-111.0153648551731 32.25902461886515),20153490273,201511,143000,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-12-15
103181400,2880 N BRONZE CREEK WY,143244.0,255994.0,255333.0,BRONZE CREEK,WY,0.0,0.0,TUC,0.0,2000-02-19,32.259412394,-111.01361275,0.0,143244.0,1.0,PC DSD GIS,P,N BRONZE CREEK WY,N,BRONZ,BRONZE CREEK WY,2880.0,,E131333,979147.0,459278.0,TUCSON,85745,POINT (-111.0136127498801 32.25941239402685),20151970506,201505,147000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-07-16
103181900,2408 W SILVERBELL TREE DR,140644.0,258627.0,257952.0,SILVERBELL TREE,DR,0.0,0.0,TUC,0.0,2000-02-19,32.2611976132,-111.018731421,0.0,140644.0,1.0,PC DSD GIS,P,W SILVERBELL TREE DR,W,SILVE,SILVERBELL TREE DR,2408.0,,E131333,977560.0,459914.0,TUCSON,85745,POINT (-111.0187314207687 32.26119761331834),20152400096,201508,140000,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-08-28
103182310,2308 W SILVERGATE PL,141608.0,257653.0,256979.0,SILVERGATE,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2605125897,-111.016272519,0.0,141608.0,1.0,PC DSD GIS,P,W SILVERGATE PL,W,SILVE,SILVERGATE PL,2308.0,,E131333,978322.0,459671.0,TUCSON,85745,POINT (-111.0162725187053 32.26051258977408),20153480629,201510,159500,Single Family,Rental,Warranty Deed,Cash,Good Sale,No,No,No,No,2015-12-14
103182560,2931 N GOLD CREEK PL,141944.0,257314.0,256642.0,GOLD CREEK,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2602687234,-111.01487581,0.0,141944.0,1.0,PC DSD GIS,P,N GOLD CREEK PL,N,GOLD,GOLD CREEK PL,2931.0,,E131333,978754.0,459586.0,TUCSON,85745,POINT (-111.0148758095375 32.26026872351623),20150960616,201502,119000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-04-06
103183160,2042 W SILVER GRASS PL,140270.0,259008.0,258335.0,SILVER GRASS,PL,0.0,0.0,TUC,0.0,2003-01-27,32.261365254,-111.010439298,0.0,140270.0,1.0,PC DSD GIS,P,W SILVER GRASS PL,W,SILVE,SILVER GRASS PL,2042.0,,E131334,980122.0,459997.0,TUCSON,85745,POINT (-111.0104392981759 32.26136525403225),20150690303,201502,148575,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-10
103183220,2043 W SILVER GRASS PL,140977.0,258289.0,257616.0,SILVER GRASS,PL,0.0,0.0,TUC,0.0,2003-01-27,32.2608902551,-111.010490116,0.0,140977.0,1.0,PC DSD GIS,P,W SILVER GRASS PL,W,SILVE,SILVER GRASS PL,2043.0,,E131334,980108.0,459824.0,TUCSON,85745,POINT (-111.0104901164905 32.26089025516087),20153290161,201510,150000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-11-25
103183460,2862 N SILVER ISLAND WY,143845.0,255385.0,254717.0,SILVER ISLAND,WY,0.0,0.0,TUC,0.0,2003-01-27,32.2590375831,-111.011088179,0.0,143845.0,1.0,PC DSD GIS,P,N SILVER ISLAND WY,N,SILVE,SILVER ISLAND WY,2862.0,,E131334,979929.0,459148.0,TUCSON,85745,POINT (-111.0110881794316 32.25903758321709),20153510177,201511,178500,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-12-17
103183810,2846 N RAMIE PL,143697.0,255535.0,254864.0,RAMIE,PL,0.0,0.0,TUC,0.0,2004-02-26,32.259180605,-111.019067492,0.0,143697.0,1.0,PC DSD GIS,P,N RAMIE PL,N,RAMIE,RAMIE PL,2846.0,,E131333,977462.0,459179.0,TUCSON,85745,POINT (-111.0190674919455 32.25918060511543),20150901041,201502,165000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-03-31
103183850,2862 N RAMIE PL,142918.0,256330.0,255665.0,RAMIE,PL,0.0,0.0,TUC,0.0,2004-02-26,32.2596559625,-111.01940511,0.0,142918.0,1.0,PC DSD GIS,P,N RAMIE PL,N,RAMIE,RAMIE PL,2862.0,,E131333,977356.0,459352.0,TUCSON,85745,POINT (-111.0194051104253 32.25965596259604),20160420312,201512,170000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2016-02-11
103190240,2831 W GORET PL,142137.0,257120.0,256447.0,GORET,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2602219425,-111.027518871,0.0,142137.0,1.0,PC DSD GIS,P,W GORET PL,W,GORET,GORET PL,2831.0,,E131333,974846.0,459537.0,TUCSON,85745,POINT (-111.0275188708947 32.26022194253147),20153450271,201512,149500,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2015-12-11
103190560,2810 N TIPPECANOE AV,144697.0,254513.0,253844.0,TIPPECANOE,AV,0.0,0.0,TUC,0.0,2000-02-19,32.2586349349,-111.026052152,0.0,144697.0,1.0,PC DSD GIS,P,N TIPPECANOE AV,N,TIPPE,TIPPECANOE AV,2810.0,,E131333,975304.0,458963.0,TUCSON,85745,POINT (-111.026052151759 32.25863493496051),20151350096,201504,167000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-05-15
103191170,2912 N XOCHIPILLI DR,142536.0,256716.0,256044.0,XOCHIPILLI,DR,0.0,0.0,TUC,0.0,2003-05-27,32.2599327047,-111.020297051,0.0,142536.0,1.0,PC DSD GIS,P,N XOCHIPILLI DR,N,XOCHI,XOCHIPILLI DR,2912.0,,E131333,977080.0,459450.0,TUCSON,85745,POINT (-111.0202970508823 32.25993270475436),20151070212,201503,145000,Single Family,PrimaryRes,Warranty Deed,Other,Sale to or from a government agency,No,No,No,No,2015-04-17
103200340,2750 W TIPPECANOE TR,151537.0,247591.0,246967.0,TIPPECANOE,TR,0.0,0.0,TUC,0.0,2000-02-19,32.2541709336,-111.026015475,0.0,151537.0,1.0,PC DSD GIS,P,W TIPPECANOE TR,W,TIPPE,TIPPECANOE TR,2750.0,,E131333,975329.0,457339.0,TUCSON,85745,POINT (-111.0260154748582 32.25417093364263),20151810870,201504,210000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2015-06-30
103200720,2830 W KELSO PL,147024.0,252153.0,251487.0,KELSO,PL,0.0,0.0,TUC,0.0,2000-02-19,32.2572094909,-111.027754459,0.0,147024.0,1.0,PC DSD GIS,P,W KELSO PL,W,KELSO,KELSO PL,2830.0,,E131333,974782.0,458440.0,TUCSON,85745,POINT (-111.0277544591366 32.25720949092988),20151700746,201506,249500,Single Family,PrimaryRes,Warranty Deed,Other,Sale under duress,No,No,No,No,2015-06-19
10320075B,2797 N CERRADA DE BETO,148301.0,250867.0,250216.0,CERRADA DE BETO,,0.0,0.0,TUC,0.0,2011-03-17,32.2563206824,-111.02418319,0.0,148301.0,1.0,PC DSD GIS,P,N CERRADA DE BETO,N,CERRA,CERRADA DE BETO,2797.0,,E131333,975889.0,458126.0,TUCSON,85745,POINT (-111.0241831898798 32.25632068248088),20161190598,201510,2250000,Commercial/Industrial,Unknown,Other,Other,Sale pursuant to a court order,No,No,No,No,2016-04-28
103200760,2801 N SILVERBELL RD,146396.0,252785.0,252116.0,SILVERBELL,RD,0.0,0.0,TUC,0.0,,32.2575725154,-111.025269783,0.0,146396.0,1.0,PC DSD GIS,U,N SILVERBELL RD,N,SILVE,SILVERBELL RD,2801.0,,E131333,975549.0,458578.0,TUCSON,85745,POINT (-111.0252697832293 32.25757251551096),20161190598,201510,2250000,Commercial/Industrial,Unknown,Other,Other,Sale pursuant to a court order,No,No,No,No,2016-04-28
