Taxkey,Project,Address,Style,YearBld,Story,Units,FinSqft,BedRms,FullBath,HalfBath,SaleDate,Sale $,Nbhd,Ald
397-0607-000,RIVER RENAISSANCE,102 N WATER ST,Apartment,2008,1.0,1,"1,360",2,2,0,2016-03,"332,500",5382,4
397-0631-000,RIVER RENAISSANCE,102 N WATER ST,Apartment,2008,1.0,1,"1,036",1,2,0,2016-03,"252,000",5382,4
397-0589-000,RIVER RENAISSANCE,102 N WATER ST,Apartment,2008,1.0,1,909,1,1,0,2016-03,"191,000",5382,4
280-1735-000,RIVER WOODS-ASH-(THE GLADES),1313C E RANDOLPH CT,APARTMENT,1958,1.0,1,791,2,1,0,2016-02,"63,000",5445,3
354-1374-000,RIVERBRIDGE,1925 N WATER ST,APARTMENT,2003,1.0,1,"1,269",2,2,0,2016-03,"212,000",5964,3
354-1534-000,RIVERBRIDGE,1905 N WATER ST,UNKWN,0,1.0,1,"1,193",1,1,0,2016-02,"183,800",5964,3
354-1357-000,RIVERBRIDGE,1915 N WATER ST,APARTMENT,2002,1.0,1,"1,110",1,1,0,2016-03,"145,000",5964,3
354-1361-000,RIVERBRIDGE,1925 N WATER ST,APARTMENT,2003,1.0,1,"1,110",1,1,0,2016-03,"141,000",5964,3
397-0269-000,RIVERWALK PLAZA,141 N WATER ST,APARTMENT,1894,1.0,1,959,0,1,0,2016-01,"203,000",5395,4
043-0667-000,SERVITE COLONY,76255 W DONNA CT,APARTMENT,1980,1.0,1,899,2,1,1,2016-03,"25,000",5078,9
043-0327-000,SERVITE WOODS (ATRIUM),8641106 N SERVITE DR,MIXED STYLES,1974,1.0,1,"1,040",2,2,0,2016-02,"20,000",5070,9
043-0238-000,SERVITE WOODS (ATRIUM),8549207 N SERVITE DR,MIXED STYLES,1974,1.0,1,"1,024",2,2,0,2016-02,"37,000",5070,9
525-1469-100,SHAKER HEIGHTS,9830 W MORGAN AV,TOWN HOUSE,1966,2.0,1,"1,260",3,1,1,2016-01,"61,600",5299,11
355-1624-000,STERLING CONDOMINIUM,1550 E ROYALL  PL,APARTMENT,2005,1.0,1,"1,433",2,2,0,2016-03,"290,000",5855,3
355-1694-000,STERLING CONDOMINIUM,1550 E ROYALL PL,APARTMENT,2005,1.0,1,"1,433",2,2,0,2016-01,"315,000",5855,3
356-1031-000,SUMMIT HOUSE,19197A N SUMMIT AV,APARTMENT,1965,1.0,1,"1,026",2,1,1,2016-01,"180,000",5850,3
397-0363-000,TRANSPORTATION DISTRICT,418 N 3RD ST,APARTMENT,1894,1.0,1,"1,935",3,2,0,2016-01,"369,000",5391,4
397-0348-000,TRANSPORTATION DISTRICT,418 N 3RD ST,APARTMENT,1894,1.0,1,"1,144",1,1,0,2016-03,"162,000",5391,4
354-1222-000,TROSTEL SQUARE CONDOMINIUMS,1830 N CAPE ST,APARTMENT,2002,3.0,1,"2,077",2,3,1,2016-02,"342,000",5963,6
552-1524-100,TUDOR VILLAGE,2060 W HOWARD AV,RANCH,1953,1.0,1,837,3,1,0,2016-02,"61,000",5313,13
262-0921-000,VILLA DU COURS (ELEVATOR),3635207 N TUCKER PL,APARTMENT,1974,1.0,1,"1,015",2,1,1,2016-03,"45,000",5220,5
262-0846-000,VILLA DU COURS (ELEVATOR),3749110 N 88TH ST,APARTMENT,1974,1.0,1,863,1,1,0,2016-02,"38,000",5220,5
262-0924-000,VILLA DU COURS (ELEVATOR),3635210 N TUCKER PL,APARTMENT,1974,1.0,1,863,2,1,0,2016-02,"31,000",5220,5
428-0633-000,WATER STREET LOFTS CONDOMINIUM,200 S WATER ST,APARTMENT,1875,1.0,1,"1,517",2,2,0,2016-01,"300,000",5396,12
428-0949-000,WATER STREET LOFTS CONDOMINIUM,210 S WATER ST,APARTMENT,2006,1.0,1,819,2,1,0,2016-03,"165,000",5396,12
428-0699-000,WATERFRONT CONDO,130 S WATER ST,APARTMENT,2004,1.0,1,908,2,1,0,2016-03,"203,000",5394,12
044-0196-000,WHISPERING HILLS (TOWNHOUSE),7243 W WABASH AV,TOWN HOUSE,1973,1.5,1,"1,210",2,1,1,2016-03,"49,900",5082,9
643-2199-000,WILLOW CREEK,5229F S 13TH ST,TOWN HOUSE,1973,2.0,1,980,3,1,1,2016-01,"68,000",5340,13
391-0814-000,WISCONSIN TOWER,606 W WISCONSIN AV,Apartment,1929,1.0,1,970,1,1,0,2016-03,"127,000",5999,4
034-0502-000,WOODLANDS,8841B N SWAN RD,TOWN HOUSE,1970,2.5,1,"1,054",3,1,1,2016-03,"12,000",5060,9
034-0730-000,WOODLANDS,9050D N 95TH ST,TOWN HOUSE,1970,2.5,1,"1,054",3,1,1,2016-03,"22,000",5060,9
